Url	LinkId	Text	Section text	Reviewer	Comment
http://canshare.com/fhir/Questionnaire/pleural/pericardialtumourrequestform	reviewercommentsoncl1	Reviewer comments on clinical information about tumour	Clinical information about tumour	No practitioner supplied	A test comment
http://canshare.com/fhir/Questionnaire/mdmdatastandard	reviewercomments1	Reviewer comments	Patient Summary	Pennie Symmans  Middlemore Hospital	Is this MDM summary intended to be a living document which gets added to as the patient has initial treatment, maybe has a recurrence, has different treatment, maybe a metastasis with further surgery etc? Some MDMs are a one-off where patients are not often rediscussed (eg Breast), some are full of patients who are regularly re-discussed (eg Sarcoma). I don't quite see how this form works smoothly for the latter. eg why would you need to re-enter previous treatment history if the previous treatment was also recommended by the MDM? It seems a clumsy document for more complex MDMs.
http://canshare.com/fhir/Questionnaire/mdmdatastandard	reviewercomments3	Reviewer comments	MDM meeting details	Pennie Symmans  Middlemore Hospital	The MDM is attended by core members who generally stay for the entire meeting or for designated sections of the meeting, with a group of non-core members who may attend for just one case. The MDMs I attend last for 90 to >180 minutes. I don't know how we are meant to accurately capture this attendee data, it seems very impractical. We already struggle to get through the cases, so anything which makes the MDM more cumbersome is not welcome.
http://canshare.com/fhir/Questionnaire/breastreport-smalldiagnosticsamples	reviewerfeedbackonmi	Reviewer feedback on microscopic findings	Histology diagnosis - malignant	Rachel S  BCF	Hello #14. I can only select one architecture type (suggests multiple selection is available)
http://canshare.com/fhir/Questionnaire/BreastRequest	ReviewerCommentsonDemos	Reviewer comments on patient details	Patient Details	Sian Farr  National Screening Unit	Can't find/enter 'Māori' in ethnicity. DoB - should be mandatory?  Can date select year then month/day - else scrolling through calendar ad infinitum Age - should that be calculated from today-dob - I can't remember my own age these days Can the address link to an address finder?
http://canshare.com/fhir/Questionnaire/colorectaltumourrequestform	ReviewerCommentsonDemos	Reviewer comments on patient details	Patient Details	Matthew Drake  Canterbury	Nil.
http://canshare.com/fhir/Questionnaire/colorectaltumourrequestform	admincomments	Reviewer comments on admin	Administration	Matthew Drake  Canterbury	Nil
http://canshare.com/fhir/Questionnaire/colorectaltumourrequestform	reviewercommentson	Reviewer comments on clin info about patient	Clinical details - Diagnostic pathway	Matthew Drake  Canterbury	Nil
http://canshare.com/fhir/Questionnaire/colorectaltumourrequestform	reviewercommentsabou	Reviewer comments about the tumour	Clinical information about tumour	Matthew Drake  Canterbury	Nil
http://canshare.com/fhir/Questionnaire/colorectaltumourrequestform	reviewercommentsonop	Reviewer comments on operative procedure section	Operative procedure	Matthew Drake  Canterbury	We sometimes receive a pelvic exenteration to remove a rectal cancer.  This would probably fit ok under 'other' as is not particularly common.
